,Actor,Nominations,Wins,Sum
629,Rachel Griffiths,1,0,1.0
630,Rachel McAdams,1,0,1.0
631,Rachel Roberts,1,0,1.0
632,Rachel Weisz,0,1,2.0
633,Ralph Bellamy,1,0,1.0
634,Ralph Fiennes,1,0,1.0
635,Ralph Richardson,2,0,2.0
636,Randy Quaid,1,0,1.0
637,Ray Milland,0,1,2.0
638,Raymond Massey,1,0,1.0
639,Red Buttons,0,1,2.0
640,Renée Zellweger,0,1,2.0
641,Rex Harrison,1,1,3.0
642,Richard Barthelmess,1,0,1.0
643,Richard Burton,6,0,6.0
644,Richard Castellano,1,0,1.0
645,Richard Dix,1,0,1.0
646,Richard Farnsworth,1,0,1.0
647,Richard Harris,1,0,1.0
648,Richard Jaeckel,1,0,1.0
649,Richard Todd,1,0,1.0
650,Richard Widmark,1,0,1.0
651,Rinko Kikuchi,1,0,1.0
652,Rip Torn,1,0,1.0
653,Rita Moreno,0,1,2.0
654,River Phoenix,1,0,1.0
655,Robert De Niro,1,1,3.0
656,Robert Donat,1,1,3.0
657,Robert Downey Jr.,1,0,1.0
658,Robert Duvall,4,0,4.0
659,Robert Forster,1,0,1.0
660,Robert Loggia,1,0,1.0
661,Robert Mitchum,1,0,1.0
662,Robert Montgomery,2,0,2.0
663,Robert Morley,1,0,1.0
664,Robert Preston,1,0,1.0
665,Robert Redford,1,0,1.0
666,Robert Ryan,1,0,1.0
667,Robert Shaw,1,0,1.0
668,Robert Stack,1,0,1.0
669,Robert Strauss,1,0,1.0
670,Robert Vaughn,1,0,1.0
671,Robin Williams,0,1,2.0
672,Rock Hudson,1,0,1.0
673,Rod Steiger,2,1,4.0
674,Roland Young,1,0,1.0
675,Ron Moody,1,0,1.0
676,Ronald Colman,2,1,4.0
677,Ronee Blakley,1,0,1.0
678,Rooney Mara,1,0,1.0
679,Rosalind Russell,4,0,4.0
680,Rosemary Harris,1,0,1.0
681,Rosie Perez,1,0,1.0
682,Roy Scheider,1,0,1.0
683,Ruby Dee,1,0,1.0
684,Rupert Crosse,1,0,1.0
685,Russ Tamblyn,1,0,1.0
686,Ruth Chatterton,2,0,2.0
687,Ruth Gordon,1,1,3.0
